"","site","date","SeedClim_plotID","FunCaB_plotID","soil_moisture"
"182","Hogsete",2016-07-07,"Hog4XC","Hog4XC",0.245
"183","Hogsete",2016-07-07,"Hog4C","Hog4C",NA
"184","Rambera",2016-06-30,"194 TTC","Ram4C",0.351
"185","Rambera",2016-06-30,"198 TTC","Ram5C",0.23875
"186","Rambera",2016-06-30,"203 TTC","",0.44125
"187","Rambera",2016-06-30,"528 TTC","",0.32425
"188","Rambera",2016-06-30,"525 TTC","",0.35025
"189","Rambera",2016-06-30,"Ram1XC","Ram1XC",0.5105
"190","Rambera",2016-06-30,"Ram2XC","Ram2XC",0.218
"191","Rambera",2016-06-30,"Ram3XC","Ram3XC",0.285
"192","Rambera",2016-06-30,"Ram4XC","Ram4XC",0.3275
"193","Rambera",2016-06-30,"FC6C","Ram6C",0.22525
"194","Rambera",2016-06-30,"FC8C","Ram8C",0.23825
"195","Rambera",2016-07-20,"Ram1XC","Ram1XC",0.49825
"196","Rambera",2016-07-20,"Ram2XC","Ram2XC",0.209
"197","Rambera",2016-07-20,"Ram3XC","Ram3XC",0.3985
"198","Rambera",2016-07-20,"Ram4XC","Ram4XC",0.40125
"199","Rambera",2016-07-20,"Ram8C","Ram8C",0.27275
"200","Rambera",2016-07-20,"Ram6C","Ram6C",0.378
"201","Rambera",2016-07-20,"194 TTC","Ram4C",0.45525
"202","Rambera",2016-07-20,"198 TTC","Ram5C",0.2535
"203","Rambera",2016-07-20,"203 TTC","",0.72425
"204","Rambera",2016-07-20,"528 TTC","",0.31325
"205","Rambera",2016-07-20,"525 TTC","",0.41175
"206","Rambera",2016-07-21,"194 TTC","Ram4C",0.3745
"207","Rambera",2016-07-21,"198 TTC","Ram5C",0.257
"208","Rambera",2016-07-21,"Ram1XC","Ram1XC",0.50175
"209","Rambera",2016-07-21,"Ram2XC","Ram2XC",0.20075
"210","Rambera",2016-07-21,"Ram3XC","Ram3XC",0.2835
"211","Rambera",2016-07-21,"Ram4XC","Ram4XC",0.26475
"212","Rambera",2016-07-21,"Ram8C","Ram8C",0.19675
"213","Rambera",2016-07-21,"Ram6C","Ram6C",0.28
"214","Veskre",2016-06-27,"263 TTC","Ves1C",0.54775
"215","Veskre",2016-06-27,"270 TTC","",0.50125
"216","Veskre",2016-06-27,"271 TTC","",0.83525
"217","Veskre",2016-06-27,"280 TTC","",0.8195
"218","Veskre",2016-06-27,"281 TTC","Ves4C",0.58475
"219","Veskre",2016-06-27,"Ves1XC","Ves1XC",0.72125
"220","Veskre",2016-06-27,"Ves2XC","Ves2XC",0.63
"221","Veskre",2016-06-27,"Ves3XC","Ves3XC",0.86225
"222","Veskre",2016-06-27,"Ves4XC","Ves4XC",0.6255
"223","Veskre",2016-06-27,"Ves3C","Ves3C",0.79725
"224","Veskre",2016-06-27,"Ves2C","Ves2C",0.55125
"225","Veskre",2016-07-08,"263 TTC","Ves1C",0.53425
"226","Veskre",2016-07-08,"270 TTC","",0.508
"227","Veskre",2016-07-08,"271 TTC","",0.64425
"228","Veskre",2016-07-08,"280 TTC","",0.584
"229","Veskre",2016-07-08,"281 TTC","Ves4C",0.54375
"230","Veskre",2016-07-08,"Ves1XC","Ves1XC",0.6005
"231","Veskre",2016-07-08,"Ves2XC","Ves2XC",0.56925
"232","Veskre",2016-07-08,"Ves3XC","Ves3XC",0.694
"233","Veskre",2016-07-08,"Ves4XC","Ves4XC",0.60025
"234","Veskre",2016-07-08,"Ves2C","Ves2C",0.51675
"235","Veskre",2016-07-08,"Ves3C","Ves3C",0.5705
"236","Veskre",2016-07-15,"263 TTC","Ves1C",0.49525
"237","Veskre",2016-07-15,"270 TTC","",0.44075
"238","Veskre",2016-07-15,"271 TTC","",0.59825
"239","Veskre",2016-07-15,"280 TTC","",0.57675
"240","Veskre",2016-07-15,"281 TTC","Ves4C",0.45975
"241","Veskre",2016-07-15,"263 TTC","Ves1C",0.49525
"242","Veskre",2016-07-15,"270 TTC","",0.44075
"243","Veskre",2016-07-15,"271 TTC","",0.59825
"244","Veskre",2016-07-15,"280 TTC","",0.57675
"245","Veskre",2016-07-15,"281 TTC","Ves4C",0.45975
"246","Veskre",2016-07-15,"Ves1XC","Ves1XC",0.56525
"247","Veskre",2016-07-15,"Ves2XC","Ves2XC",0.56125
"248","Veskre",2016-07-15,"Ves3XC","Ves3XC",0.626
"249","Veskre",2016-07-15,"Ves4XC","Ves4XC",0.54225
"250","Veskre",2016-07-15,"Ves3C","Ves3C",0.62075
"251","Veskre",2016-07-15,"Ves2C","Ves2C",0.3815
"252","Ulvehaugen",2016-06-30,"5 TTC","",0.45925
"253","Ulvehaugen",2016-06-30,"6 TTC","Ulv2C",0.5355
"254","Ulvehaugen",2016-06-30,"11 TTC","Ulv3C",0.32375
"255","Ulvehaugen",2016-06-30,"17 TTC","",0.444
"256","Ulvehaugen",2016-06-30,"23 TTC","",0.31675
"257","Ulvehaugen",2016-06-30,"Ulv1XC","Ulv1XC",0.2255
"258","Ulvehaugen",2016-06-30,"Ulv2XC","Ulv2XC",0.26325
"259","Ulvehaugen",2016-06-30,"Ulv3XC","Ulv3XC",0.2795
"260","Ulvehaugen",2016-06-30,"Ulv4XC","Ulv4XC",0.41925
"261","Ulvehaugen",2016-06-30,"Ulv4C","Ulv4C",0.3205
"262","Ulvehaugen",2016-06-30,"Ulv1C","Ulv1C",0.45675
"263","Ulvehaugen",2016-07-28,"Ulv1C","Ulv1C",0.54625
"264","Ulvehaugen",2016-07-28,"6 TTC","Ulv2C",0.47775
"265","Ulvehaugen",2016-07-28,"11 TTC","Ulv3C",0.3695
"266","Ulvehaugen",2016-07-28,"Ulv4C","Ulv4C",0.46775
"267","Ulvehaugen",2016-07-28,"23 TTC","",0.401
"268","Ulvehaugen",2016-07-28,"Ulv1XC","Ulv1XC",0.3045
"269","Ulvehaugen",2016-07-28,"Ulv2XC","Ulv2XC",0.351
"270","Ulvehaugen",2016-07-28,"Ulv3XC","Ulv3XC",0.3515
"271","Ulvehaugen",2016-07-28,"Ulv4XC","Ulv4XC",0.43025
"272","Ulvehaugen",2016-07-26,"5 TTC","",0.4965
"273","Ulvehaugen",2016-07-26,"6 TTC","Ulv2C",0.53775
"274","Ulvehaugen",2016-07-26,"11 TTC","Ulv3C",0.324
"275","Ulvehaugen",2016-07-26,"17 TTC","",0.40525
"276","Ulvehaugen",2016-07-26,"23 TTC","",0.367
"277","Ulvehaugen",2016-07-26,"Ulv1XC","Ulv1XC",0.258
"278","Ulvehaugen",2016-07-26,"Ulv2XC","Ulv2XC",0.273
"279","Ulvehaugen",2016-07-26,"Ulv3XC","Ulv3XC",0.2895
"280","Ulvehaugen",2016-07-26,"Ulv4XC","Ulv4XC",0.3395
"281","Ulvehaugen",2016-07-26,"Ulv1C","Ulv1C",0.41025
"282","Ulvehaugen",2016-07-26,"Ulv4C","Ulv4C",0.34975
"283","Ulvehaugen",2016-08-02,"5 TTC","",0.45875
"284","Ulvehaugen",2016-08-02,"6 TTC","Ulv2C",0.387
"285","Ulvehaugen",2016-08-02,"11 TTC","Ulv3C",0.29875
"286","Ulvehaugen",2016-08-02,"17 TTC","",0.41525
"287","Ulvehaugen",2016-08-02,"23 TTC","",0.2905
"288","Ulvehaugen",2016-08-02,"Ulv1XC","Ulv1XC",0.216
"289","Ulvehaugen",2016-08-02,"Ulv2XC","Ulv2XC",0.25675
"290","Ulvehaugen",2016-08-02,"Ulv3XC","Ulv3XC",0.27275
"291","Ulvehaugen",2016-08-02,"Ulv4XC","Ulv4XC",0.297
"292","Ulvehaugen",2016-08-02,"Ulv1C","Ulv1C",0.33975
"293","Ulvehaugen",2016-08-02,"Ulv4C","Ulv4C",0.234
"294","Lavisdalen",2016-06-29,"78 TTC","",0.3035
"295","Lavisdalen",2016-06-29,"85 TTC","",0.322
"296","Lavisdalen",2016-06-29,"87 TTC","",0.2945
"297","Lavisdalen",2016-06-29,"94 TTC","",0.32775
"298","Lavisdalen",2016-06-29,"99 TTC","",0.361
"299","Lavisdalen",2016-06-29,"Lav1C","Lav1C",0.19475
"300","Lavisdalen",2016-06-29,"Lav2C","Lav2C",0.29125
"301","Lavisdalen",2016-06-29,"Lav3C","Lav3C",0.22975
"302","Lavisdalen",2016-06-29,"Lav4C","Lav4C",0.2755
"303","Lavisdalen",2016-08-03,"78 TTC","",0.27525
"304","Lavisdalen",2016-08-03,"85 TTC","",0.40475
