Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	1			17,5	17,5		4		291																					
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	2			18,5	17,0																									new shoot
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	3			19,0	18,0		7		360																					
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	4			18,0	16,0		2		166																					topp med aks mangler
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	5			19,0	16,0																									new shoot
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	6			19,5	16,0																									new shoot
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	7			20,0	15,5																									new shoot
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	8			17,5	15,5																									new shoot
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	9			18,5	8,5		4		224																					
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	10			17,5	8,5		4		216																					
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	11			19,5	8,0		4		234																					
Ulv	Car_pal	Novel	3	3	2018	13.09.2018	SO	12			18,5	7,0		3		165																					
Gud	Hyp_mac	Novel	1	6	2018	03.09.2018	SO	1			17,5	18,5	138	30		14	10																				
Gud	Hyp_mac	Novel	1	6	2018	03.09.2018	SO	2			18,0	8,5	219	68		21	10																				
Gud	Suc_pra	Novel	1	6	2018	03.09.2018	SO	1			29,0	17,0		12	9+3	108	27																				
Gud	Suc_pra	Novel	1	6	2018	03.09.2018	SO	2			26,5	8,0		23	10+4+6+3	120	32							4							3	4					
Gud	Suc_pra	Novel	2	2	2018	04.09.2018	RG	1			6,5	16,5		22	10+12	118	25											17	9	8		3					3 flower stem, 2 avblomstrert, 1 kapsel, 1 kapsel + 2 avblomstret
